case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,PASS,solve_q1,observations,2,2,4,4,7.072399999742629,POLYGON,4,39.5083406589872,19.7541703294936,19.754170329493604,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.07409999943774892,5.724499999814725,0.15150000035646372,5.407999999988533,0.33090000033553224,0.8612999999968451,0.0008999995770864189,0.6549999998242129,0.08640000032755779,0.09270000009564683,0.0008999995770864189,0.023300000066228677,0.08160000015777769
test_angle_wrap_and_two_input_styles__002,test_angle_wrap_and_two_input_styles,PASS,solve_q1,observations,2,2,4,4,4.032099999676575,POLYGON,4,39.5083406589872,19.7541703294936,19.754170329493604,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.4220000000714208,0.01920000067912042,2.322400000593916,0.11249999988649506,2.061299998786126,0.3209000005881535,0.8393999996769708,0.000999999429041054,0.6474000001617242,0.08560000060242601,0.08149999939632835,0.0006000000212225132,0.021599999854515772,0.10819999806699343
test_consistent_random_observations__001,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.355000000032305,POLYGON,4,22.217638393864267,11.108819196932133,13.10623352407956,1.9974143271474265,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04360000002634479,2.7580000005400507,0.2804000005198759,2.2998999993433245,0.7495000008930219,0.7212000000436092,0.0006999998731771484,0.5815999993501464,0.03950000063923653,0.07099999947968172,0.0006000000212225132,0.026300000172341242,0.08269999852927867
test_consistent_random_observations__002,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,5.22369999998773,POLYGON,5,20.83521363032694,10.41760681516347,12.111275110271798,1.6936682951083277,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.031000000490166713,2.9489000007743016,0.3730000007635681,2.402399998572946,1.28599999970902,0.8790000001681619,0.0006000000212225132,0.7109000007403665,0.03899999956047395,0.08969999998953426,0.0006999998731771484,0.03670000023703324,0.07879999884607969
test_consistent_random_observations__003,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,12.408399999912945,POLYGON,6,30.04862541611205,15.024312708056025,16.885144174807255,1.8608314667512307,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.09130000034929253,6.703099999867845,0.6400000002031447,5.625499999950989,2.158199999939825,3.2683999997971114,0.0018000000636675395,2.6187999992544064,0.21400000059657032,0.3359000002092216,0.0021999994714860804,0.09190000037051504,0.18739999995887047
test_consistent_random_observations__004,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,5.799600000500504,POLYGON,4,18.4296311073659,9.21481555368295,12.824010371268423,3.6091948175854736,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.05450000026030466,3.4328000001551118,0.5809000003864639,2.6177000008829054,1.4998999995441409,0.6932000005690497,0.0006999998731771484,0.5329999994501122,0.056400000175926834,0.06920000032550888,0.0008999995770864189,0.03149999974993989,0.11919999997189734
test_consistent_random_observations__005,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.790400000070804,POLYGON,5,20.689194195656633,10.344597097828316,10.344597097828316,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02519999998185085,2.1464999999807333,0.21219999962340808,1.7878000007840456,0.6784999995943508,0.8830999995552702,0.0005000001692678779,0.6825999998909538,0.08769999931246275,0.08170000000973232,0.0006000000212225132,0.02880000010918593,0.057100000958598685
test_consistent_random_observations__006,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.793699999936507,POLYGON,6,19.632239331280147,9.816119665640073,9.816119665640105,3.197442310920451e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02719999974942766,2.33609999941109,0.3878999996231869,1.7926999998962856,1.2673999999606167,1.0915000002569286,0.0005000001692678779,0.847799999974086,0.09990000035031699,0.10199999996984843,0.0006999998731771484,0.03930000002583256,0.0715000005584443
test_consistent_random_observations__007,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.5771999991993653,POLYGON,4,27.108856643533624,13.554428321766812,22.29074433885397,8.736316017087157,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.025800000003073364,2.22829999984242,0.21110000034241239,1.8734000013864716,0.6337000004350557,0.6291999998211395,0.0006000000212225132,0.4957999999533058,0.03689999994094251,0.06540000049426453,0.0006000000212225132,0.027600000066740904,0.06019999909767648
test_consistent_random_observations__008,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,5.1419999999779975,POLYGON,4,27.108856643533624,13.554428321766812,22.29074433885397,8.736316017087157,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.11410000024625333,2.821399999447749,0.5426999996416271,2.085099999931117,1.2956999999005347,0.699700000041048,0.0006999998731771484,0.5381000000852509,0.050800000281014945,0.07310000000870787,0.000999999429041054,0.03420000030018855,0.21110000034241239
test_consistent_random_observations__009,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.8923000001886976,POLYGON,5,24.936210746966673,12.468105373483336,13.790312456015865,1.322207082532529,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.038299999687296804,2.226699999482662,0.20990000120946206,1.875300000392599,0.7137000002330751,0.8496999998897081,0.0006000000212225132,0.693199999659555,0.037400000110210385,0.08729999990464421,0.0006999998731771484,0.028899999961140566,0.0639000008959556
test_consistent_random_observations__010,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,7.999299999937648,POLYGON,4,23.405927302466317,11.702963651233159,14.22557584244861,2.522612191215451,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04840000019612489,3.3782000000428525,0.3826000001936336,2.8256000005058013,3.0382000004465226,1.4491000001726206,0.0008999995770864189,1.234899999872141,0.09680000039224979,0.07550000009359792,0.0008999995770864189,0.03749999996216502,0.08539999907952733
test_consistent_random_observations__011,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,5.405500000051688,POLYGON,4,24.567064058789537,12.283532029394769,17.189747299423043,4.906215270028275,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03329999981360743,3.633100000115519,0.23219999911816558,3.145300000142015,0.8271000006061513,0.8445000003121095,0.0010000003385357559,0.5905999996684841,0.07100000038917642,0.14449999980570283,0.0015999994502635673,0.032500000088475645,0.06749999920430128
test_consistent_random_observations__012,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,5.549999999857391,POLYGON,5,20.179809411474533,10.089904705737267,15.739791625222104,5.649886919484837,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.07069999992381781,2.8615999999601627,0.4321000005802489,2.2212999992916593,1.593900000443682,0.925199999983306,0.0007999997251317836,0.691000000188069,0.07000000005064066,0.11869999980262946,0.0006999998731771484,0.04170000011072261,0.09859999954642262
test_consistent_random_observations__013,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.083799999534676,POLYGON,4,16.30451157914354,8.15225578957177,11.980298852679946,3.8280430631081757,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04640000042854808,2.578499999799533,0.2395999999862397,2.1740000001955195,0.6778999995731283,0.7077999998728046,0.0006999998731771484,0.5295000000842265,0.08269999943877338,0.06620000021939632,0.0006999998731771484,0.026200000320386607,0.0731999998606625
test_consistent_random_observations__014,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.991599999812024,POLYGON,5,16.092325748953094,8.046162874476547,11.84262705696514,3.7964641824885934,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03870000000461005,2.6514000001043314,0.37430000065796776,2.0987000007153256,1.3196999998399406,0.9057999996002764,0.0007999997251317836,0.6857999997009756,0.09930000032909447,0.08400000024266774,0.0006000000212225132,0.03339999966556206,0.0760000002628658
test_consistent_random_observations__015,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.7451999996847007,POLYGON,5,30.187578062550447,15.093789031275223,19.38501609985523,4.291227068580005,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.024599999960628338,2.1275000008245115,0.20820000008825446,1.7763999985618284,0.6508999995276099,0.8854999996401602,0.0006999998731771484,0.6889000005685375,0.08459999935439555,0.0819000006231363,0.0006999998731771484,0.027399999453336932,0.05669999973179074
test_consistent_random_observations__016,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,5.036699999436678,POLYGON,5,23.882380565841423,11.941190282920711,15.47990021388992,3.5387099309692083,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.028299999939918052,2.2884999998495914,0.36999999974796083,1.7673000002105255,1.6843999992488534,0.9620999999242486,0.0006000000212225132,0.7164999997257837,0.09530000079394085,0.11009999980160501,0.0008999995770864189,0.037200000406301115,0.07340000047406647
test_consistent_random_observations__017,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.780000000006112,POLYGON,4,22.436888193427947,11.218444096713974,14.766177723358174,3.5477336266442006,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.025499999537714757,2.2855999995954335,0.210000000151922,1.9168999997418723,0.7518000002164626,0.6593999996766797,0.0006999998731771484,0.5164000003787805,0.0503999999637017,0.0652999997328152,0.0006000000212225132,0.024500000108673703,0.0577000009798212
test_consistent_random_observations__018,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.840500000682368,POLYGON,5,22.436888193427947,11.218444096713974,11.21844409671399,1.5987211554602254e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02700000004551839,2.6465999999345513,0.3552999996827566,2.117000000907865,1.2185000005047186,0.879900000654743,0.0006000000212225132,0.6696999998894171,0.0866999998834217,0.08479999996779952,0.0006999998731771484,0.03569999989849748,0.06849999954283703
