case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,PASS,solve_q1,observations,2,2,4,4,13.4474999995291,POLYGON,4,39.5083406589872,19.7541703294936,19.754170329493604,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.298099999781698,11.18039999892062,0.35480000042298343,10.501999999178224,1.3281999999890104,0.5382999988796655,0.0017000002117129043,0.18039999849861488,0.22030000036465935,0.041500001316308044,0.0503999999637017,0.04039999839733355,0.10250000195810571
test_angle_wrap_and_two_input_styles__002,test_angle_wrap_and_two_input_styles,PASS,solve_q1,observations,2,2,4,4,3.9651000006415416,POLYGON,4,39.5083406589872,19.7541703294936,19.754170329493604,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.4487999995035352,0.0213999992411118,2.3332000000664266,0.23859999964770395,2.071799999612267,0.7506000001740176,0.29849999918951653,0.0008999995770864189,0.09980000140785705,0.12409999908413738,0.023800001144991256,0.02519999907235615,0.022599999283556826,0.1126000024669338
test_consistent_random_observations__001,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.243499999574851,POLYGON,4,22.217638393864267,11.108819196932133,13.10623352407956,1.9974143271474265,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04889999945589807,2.7573000006668735,0.4579999986162875,2.342400004636147,1.0921000011876458,0.272300001597614,0.0006000009307172149,0.08659999912197236,0.11100000119768083,0.019299999621580355,0.02519999907235615,0.02750000021478627,0.07289999666681979
test_consistent_random_observations__002,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,7.7313999991019955,POLYGON,5,20.83521363032694,10.41760681516347,12.111275110271798,1.6936682951083277,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.10569999903964344,4.15430000066408,1.2034999999741558,3.2785999992483994,2.6752000012493227,0.6456000010075513,0.0015000005078036338,0.2009999989240896,0.2627000012580538,0.05059999966761097,0.05810000038763974,0.06810000013501849,0.1505999971413985
test_consistent_random_observations__003,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.252799999449053,POLYGON,6,30.04862541611205,15.024312708056025,16.885144174807255,1.8608314667512307,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03930000093532726,2.40250000024389,0.44749999869964086,2.0248000000719912,1.266199999008677,0.47230000018316787,0.0007999988156370819,0.18570000065665226,0.18350000027567148,0.03060000017285347,0.034199998481199145,0.035600000046542846,0.07249999907799065
test_consistent_random_observations__004,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.673600000387523,POLYGON,4,18.4296311073659,9.21481555368295,12.824010371268423,3.6091948175854736,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03590000051190145,2.6051000004372327,0.8013000042410567,2.0268000043870416,1.644900001338101,0.307099999190541,0.0008000006346264854,0.08659999912197236,0.13790000048174988,0.02029999996011611,0.024499999199179,0.035000000934815034,0.08059999890974723
test_consistent_random_observations__005,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.799099999218015,POLYGON,5,20.689194195656633,10.344597097828316,10.344597097828316,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04859999899053946,2.914200000304845,0.49340000077791046,2.4784999986877665,1.337499999863212,0.42409999878145754,0.0008999995770864189,0.14259999989008065,0.1824000009946758,0.02879999919969123,0.03219999962311704,0.03530000140017364,0.07470000127796084
test_consistent_random_observations__006,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,7.596699999339762,POLYGON,6,19.632239331280147,9.816119665640073,9.816119665640105,3.197442310920451e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.09809999937715475,4.77859999955399,1.0541999999986729,3.8940999984333757,1.9925999986298848,0.5473000001074979,0.0009000013960758224,0.20339999900897965,0.22010000066075008,0.03449999894655775,0.03710000055434648,0.04889999945589807,0.18010000167123508
test_consistent_random_observations__007,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.366400000435533,POLYGON,4,27.108856643533624,13.554428321766812,22.29074433885397,8.736316017087157,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.051500001063686796,2.761899999313755,0.5360000013752142,2.32750000031956,1.1749000004783738,0.3006000006280374,0.0006999998731771484,0.09569999929226469,0.12299999980314169,0.022500000341096893,0.026899999284069054,0.029800001357216388,0.07749999895168003
test_consistent_random_observations__008,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.9552000000403496,POLYGON,4,27.108856643533624,13.554428321766812,22.29074433885397,8.736316017087157,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.045500000851461664,2.8851999995822553,0.8897999978216831,2.250600000479608,1.6211000001931097,0.31540000054519624,0.0010999992809956893,0.09719999980006833,0.12830000014218967,0.02320000021427404,0.02769999991869554,0.035200000638724305,0.08799999886832666
