case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,FAIL,solve_q1,observations,2,2,4,4,2.8328999997029314,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.06719999873894267,2.295499998581363,0.07869999717513565,2.1926999997958774,0.38949999907345045,,,,,,,,0.08070000330917537
test_angle_wrap_and_two_input_styles__002,test_angle_wrap_and_two_input_styles,FAIL,solve_q1,observations,2,2,4,4,1.2967000002390705,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.29519999952754006,0.018700000509852543,0.5641999996441882,0.06030000076862052,0.49559999933990184,0.32450000071548857,,,,,,,,0.09409999984200113
test_consistent_random_observations__001,test_consistent_random_observations,FAIL,solve_q1,observations,3,3,6,6,1.3468999986798735,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03589999869291205,0.7139000008464791,0.07609999920532573,0.6301000012172153,0.5270999990898417,,,,,,,,0.07000000005064066
test_consistent_random_observations__002,test_consistent_random_observations,FAIL,solve_q1,observations,4,4,8,8,1.403500000378699,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03300000025774352,0.6049000003258698,0.11820000145235099,0.501500000609667,0.6831000009697163,,,,,,,,0.0824999988253694
test_constant_constraints__001,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.2939000005426351,EMPTY,0,,,,,,scipy_with_fraction_check,not_run_or_early_return,0.272300001597614,,,,,,,,,,,,,0.02159999894502107
test_constant_constraints__002,test_constant_constraints,PASS,solve_halfplanes,halfplanes,,,1,,0.34020000020973384,UNBOUNDED,0,Infinity,,,,,scipy_with_fraction_check,not_run_or_early_return,0.3113000002485933,,,,,,,,,,,,,0.028899999961140566
test_contradictory_parallel_constraints__001,test_contradictory_parallel_constraints,PASS,solve_halfplanes,halfplanes,,,2,2,0.678100001096027,EMPTY,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.2689000011741882,,0.3643000000010943,0.03229999856557697,0.32169999940379057,,,,,,,,,0.04489999992074445
test_document_three_observations__001,test_document_three_observations,FAIL,solve_q1,observations,3,3,6,6,1.1046999989048345,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.032500000088475645,0.4748999999719672,0.07819999882485718,0.39710000055492856,0.534200000402052,,,,,,,,0.06309999844233971
test_document_two_observations__001,test_document_two_observations,FAIL,solve_q1,observations,2,2,4,4,0.9016000003612135,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02409999979136046,0.49760000001697335,0.04890000127488747,0.4372000003058929,0.33230000008188654,,,,,,,,0.04760000047099311
test_duplicate_and_permutation__001,test_duplicate_and_permutation,PASS,solve_q1,observations,2,2,4,4,0.9628000007069204,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02320000021427404,0.514600000315113,0.051700000767596066,0.45000000136496965,0.3767000016523525,,,,,,,,0.048299998525180854
test_duplicate_and_permutation__002,test_duplicate_and_permutation,PASS,solve_q1,observations,4,2,8,4,0.9533000011288095,NUMERICAL_ISSUE,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02700000004551839,0.49250000120082404,0.05109999983687885,0.4305000002204906,0.3785999997489853,,,,,,,,0.05520000013348181
test_empty_observation_intersection__001,test_empty_observation_intersection,PASS,solve_q1,observations,2,2,4,4,0.48880000031203963,EMPTY,0,,,,,,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.024100001610349864,0.4200999992463039,0.1300999992963625,0.2806000011332799,,,,,,,,,0.04459999945538584
test_invalid_inputs__001,test_invalid_inputs,PASS,solve_q1,observations,0,0,,,0.008700000762473792,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.005699999746866524,,,,,,,,,,,,0.0030000010156072676
test_invalid_inputs__002,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.010300000212737359,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.0073999999585794285,,,,,,,,,,,,0.0029000002541579306
test_invalid_inputs__003,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.02099999983329326,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.0182999992830446,,,,,,,,,,,,0.00270000055024866
test_invalid_inputs__004,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.04810000064026099,EXCEPTION,,,,,,,scipy_with_fraction_check,,,0.04400000034365803,,,,,,,,,,,,0.004100000296602957
test_invalid_inputs__005,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.32050000118033495,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.30169999990903307,,,,,,,,,,,,,0.01880000127130188
test_invalid_inputs__006,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.3068999994866317,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.2898999991884921,,,,,,,,,,,,,0.01700000029813964
test_invalid_inputs__007,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.3083000010519754,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.2913999996962957,,,,,,,,,,,,,0.016900001355679706
test_invalid_inputs__008,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.3264999995735707,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.31289999969885685,,,,,,,,,,,,,0.01359999987471383
test_invalid_inputs__009,test_invalid_inputs,PASS,solve_q1,observations,1,1,,,0.3222999985155184,EXCEPTION,,,,,,,scipy_with_fraction_check,,0.28980000024603214,,,,,,,,,,,,,0.03249999826948624
test_lp_numerical_failure_not_unbounded__001,test_lp_numerical_failure_not_unbounded,PASS,solve_q1,observations,2,2,4,4,0.4946999997628154,NUMERICAL_ISSUE,0,,,,,,mocked_linprog,scipy_highs_with_fraction_check,,0.031100000342121348,0.05559999954130035,0.04599999920174014,0.021300000298651867,0.35170000046491623,,,,,,,,0.0562999994144775
test_lp_uses_free_variables__001,test_lp_uses_free_variables,PASS,solve_q1,observations,1,1,2,2,0.15759999951114878,UNBOUNDED,0,Infinity,,,,,mocked_linprog,scipy_highs_with_fraction_check,,0.03719999949680641,0.06919999941601418,0.027799998861155473,0.02809999932651408,,,,,,,,,0.05120000059832819
test_near_parallel_not_discarded__001,test_near_parallel_not_discarded,PASS,solve_halfplanes,halfplanes,,,3,3,1.2016999990009936,POLYGON,3,999999999999.9999,499999999999.99994,499999999999.99994,0.0,True,fraction_only,fraction_fourier_motzkin,0.4222999996272847,,0.06260000009206124,0.09229999886883888,,0.5192999997234438,0.11249999988649506,0.0013999997463542968,0.02069999936793465,0.038500000300700776,0.009299999874201603,0.012299999070819467,0.02769999991869554,0.08499999967170879
test_negative_coordinate_square__001,test_negative_coordinate_square,PASS,solve_halfplanes,halfplanes,,,4,4,3.4612999988894444,POLYGON,4,2.8284271247461903,1.4142135623730951,1.4142135623730951,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.5070000006526243,,1.3123999997333158,0.2951000005850801,1.043500000378117,0.951399999394198,0.5839999994350364,0.0022999993234407157,0.16280000090773683,0.25689999893074855,0.04070000068168156,0.05109999983687885,0.06539999958476983,0.10649999967426993
test_point_and_segment_direct_constraints__001,test_point_and_segment_direct_constraints,PASS,solve_halfplanes,halfplanes,,,4,4,1.692600000751554,POINT,1,0.0,0.0,0.0,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.41459999920334667,,0.7578000004286878,0.15469999925699085,0.633699999525561,0.41789999886532314,0.004799998350790702,0.0025000008463393897,,,,,,0.09750000390340574
