case_id,test_name,test_outcome,entrypoint,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend_mode,backend,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
test_angle_wrap_and_two_input_styles__001,test_angle_wrap_and_two_input_styles,PASS,solve_q1,observations,2,2,4,4,11.116099999981088,POLYGON,4,39.5083406589872,19.7541703294936,19.754170329493604,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.3547999999682361,9.734499999922264,0.327900000002046,9.027100000139399,0.38960000006227347,0.34900000014204124,0.0009000000318337698,0.11770000014621473,0.06579999990208307,0.10459999998602143,0.03100000003541936,0.02689999996619008,0.28819999988627387
test_angle_wrap_and_two_input_styles__002,test_angle_wrap_and_two_input_styles,PASS,solve_q1,observations,2,2,4,4,3.2366000000365602,POLYGON,4,39.5083406589872,19.7541703294936,19.754170329493604,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,0.3345999998600746,0.019599999859565287,2.1798000000217144,0.1142999999501626,1.9260000001395383,0.316299999894909,0.29650000010406075,0.0008999998044600943,0.09940000018104911,0.056699999959164415,0.09049999994203972,0.024899999971239595,0.022400000034394907,0.08980000029623625
test_consistent_random_observations__001,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.990099999986342,POLYGON,4,22.217638393864267,11.108819196932133,13.10623352407956,1.9974143271474265,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.055400000064764754,3.1988999999157386,0.28189999989081116,2.657500000168511,0.9974999998121348,0.6444999999075662,0.0012000000424450263,0.18929999987449264,0.13319999993655074,0.19430000020292937,0.058399999943503644,0.06510000002890592,0.09380000028613722
test_consistent_random_observations__002,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.747899999983929,POLYGON,5,20.83521363032694,10.41760681516347,12.111275110271798,1.6936682951083277,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04910000006930204,2.868799999987459,0.48819999983606976,2.1945999997114995,1.3887000000067928,0.33849999999802094,0.0004999999418942025,0.12300000003051537,0.06349999989652133,0.08860000002641755,0.02779999999802385,0.03370000013092067,0.10279999992235389
test_consistent_random_observations__003,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,5.916200000001481,POLYGON,6,30.04862541611205,15.024312708056025,16.885144174807255,1.8608314667512307,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.05779999992228113,3.960199999937686,0.4229999999552092,3.2779000005120906,1.1139999999159045,0.6577000001470878,0.0009000000318337698,0.2661000000898639,0.133499999947162,0.1620999998976913,0.04590000003190653,0.0473000000056345,0.12650000007852213
test_consistent_random_observations__004,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.109999999855063,POLYGON,4,18.4296311073659,9.21481555368295,12.824010371268423,3.6091948175854736,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.037199999951553764,2.464700000018638,0.3827999998975429,1.9258000002082554,1.2558000000808534,0.27210000007471535,0.0004999999418942025,0.07849999997233681,0.07370000002993038,0.06789999997636187,0.02119999999194988,0.029100000119797187,0.08019999972930236
test_consistent_random_observations__005,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.2181999999920663,POLYGON,5,20.689194195656633,10.344597097828316,10.344597097828316,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03700000002027082,2.1152000001620763,0.2092999998239975,1.770700000179204,0.6576000000677595,0.34740000000965665,0.0004999999418942025,0.11829999994006357,0.0861999999415275,0.08750000006330083,0.02599999993435631,0.027700000146069215,0.06099999973230297
test_consistent_random_observations__006,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.114599999866186,POLYGON,6,19.632239331280147,9.816119665640073,9.816119665640105,3.197442310920451e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02689999996619008,2.237499999864667,0.3639000001385284,1.724700000067969,1.2988999999379303,0.48100000003614696,0.0007000001005508238,0.18359999990025244,0.10689999999158317,0.11349999999765714,0.03319999996165279,0.04170000011072261,0.07030000006125192
test_consistent_random_observations__007,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.309899999976551,POLYGON,4,27.108856643533624,13.554428321766812,22.29074433885397,8.736316017087157,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.026199999865639256,2.267699999947581,0.2225000000635191,1.8990999997186009,0.6960000000617583,0.26330000014240795,0.0004999999418942025,0.08589999993091624,0.05120000014358084,0.07459999983439047,0.023700000156168244,0.025899999855028,0.056699999959164415
test_consistent_random_observations__008,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.069699999945442,POLYGON,4,27.108856643533624,13.554428321766812,22.29074433885397,8.736316017087157,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.030200000082913903,2.467499999966094,0.38829999994050013,1.918999999816151,1.2406999999257096,0.2557000000251719,0.0006999998731771484,0.08210000009967189,0.048699999979362474,0.07090000008247443,0.0227999998969608,0.029300000051080133,0.07559999994555255
test_consistent_random_observations__009,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.277600000046732,POLYGON,5,24.936210746966673,12.468105373483336,13.790312456015865,1.322207082532529,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.026499999876250513,2.17360000010558,0.21450000008371717,1.8119999999726133,0.7124999999632564,0.30369999990398355,0.0004999999418942025,0.12179999998807034,0.03609999998843705,0.08920000004764006,0.026200000093012932,0.028400000019246363,0.061300000197661575
test_consistent_random_observations__010,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,7.294499999943582,POLYGON,4,23.405927302466317,11.702963651233159,14.22557584244861,2.522612191215451,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03270000001975859,4.300399999920046,0.40970000009110663,3.653999999869484,2.083200000015495,0.7986999999047839,0.001799999836293864,0.1767000001109409,0.3169999999954598,0.1474999999118154,0.028300000167291728,0.03599999990910874,0.07950000008349889
test_consistent_random_observations__011,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.2346000000416097,POLYGON,4,24.567064058789537,12.283532029394769,17.189747299423043,4.906215270028275,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.02880000010918593,2.1853999999166263,0.22639999997409177,1.8201000000317435,0.690699999950084,0.2660999998624902,0.0004999999418942025,0.08190000016838894,0.06009999992784287,0.07230000005620241,0.02429999995001708,0.025499999992462108,0.06360000020322332
test_consistent_random_observations__012,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.0466999998898245,POLYGON,5,20.179809411474533,10.089904705737267,15.739791625222104,5.649886919484837,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.036500000078376615,2.365099999906306,0.370599999996557,1.838799999859475,1.2328999998771906,0.33490000009805954,0.0005999997938488377,0.11480000011943048,0.07019999998192361,0.08720000005268957,0.025399999913133797,0.0354000001152599,0.07729999992989178
test_consistent_random_observations__013,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.167399999914778,POLYGON,4,16.30451157914354,8.15225578957177,11.980298852679946,3.8280430631081757,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.031600000056641875,2.712599999995291,0.2462999998442683,2.2797000001446577,0.9657000000515836,0.38790000007793424,0.0007999999525054591,0.11719999997694686,0.0915000000532018,0.10659999998097192,0.031499999977313564,0.038200000062715844,0.06959999973332742
test_consistent_random_observations__014,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,8.74359999988883,POLYGON,5,16.092325748953094,8.046162874476547,11.84262705696514,3.7964641824885934,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.06640000015067926,5.412800000158313,0.8997000002182176,4.170199999862234,2.467699999897377,0.6344999999328138,0.0010999999631167157,0.22730000000592554,0.11620000009315845,0.17929999989974021,0.04520000015872938,0.0612999999702879,0.16219999974964594
test_consistent_random_observations__015,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.702900000007503,POLYGON,5,30.187578062550447,15.093789031275223,19.38501609985523,4.291227068580005,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.043900000036956044,2.5279999999838765,0.282599999991362,2.0829000000048836,0.7152999999107124,0.33750000011423253,0.0007000001005508238,0.12609999998858257,0.0638999999864609,0.09019999993142847,0.02689999996619008,0.028300000167291728,0.07819999996172555
test_consistent_random_observations__016,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.117700000051627,POLYGON,5,23.882380565841423,11.941190282920711,15.47990021388992,3.5387099309692083,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.029400000130408444,2.420299999812414,0.39420000007339695,1.8643000000793108,1.2733999999454682,0.3211000000646891,0.0004999999418942025,0.11700000004566391,0.0591999998960091,0.08610000008957286,0.024400000029345392,0.03259999994043028,0.07350000009864743
test_consistent_random_observations__017,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.3332999998947344,POLYGON,4,22.436888193427947,11.218444096713974,14.766177723358174,3.5477336266442006,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.028100000008635106,2.2242000000005646,0.2253999998629297,1.8522000000302796,0.6934000000455853,0.31469999998989806,0.0007000001005508238,0.11889999996128608,0.07430000005115289,0.06880000000819564,0.022699999817632488,0.02779999999802385,0.07289999985005124
test_consistent_random_observations__018,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.113800000141055,POLYGON,5,22.436888193427947,11.218444096713974,11.21844409671399,1.5987211554602254e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.027199999976801337,2.380300000140778,0.3962000002957211,1.8322999999327294,1.2592000000495318,0.37770000017189886,0.0007999999525054591,0.1288999999360385,0.09399999999004649,0.09340000019619765,0.025599999844416743,0.03370000013092067,0.06939999980204448
test_consistent_random_observations__019,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.333899999915957,POLYGON,3,9.246267005690134,4.623133502845067,5.634110328343506,1.0109768254984388,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.029900000072302646,2.4158000001079927,0.22620000004280882,2.031699999633929,0.646799999913128,0.1786999998785177,0.0006000000212225132,0.0503999999637017,0.035399999887886224,0.05140000007486378,0.018400000044493936,0.02119999999194988,0.06269999994401587
test_consistent_random_observations__020,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,3.8695999999163178,POLYGON,3,9.246267005690134,4.623133502845067,5.634110328343506,1.0109768254984388,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.028400000019246363,2.3446999998668616,0.3945000000840082,1.7896000003929657,1.2475000000904402,0.17490000004727335,0.0006000000212225132,0.047799999947528704,0.033799999982875306,0.05000000010113581,0.017299999854003545,0.024100000018734136,0.07409999989249627
test_consistent_random_observations__021,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.4278999999060034,POLYGON,4,26.442952148004508,13.221476074002254,14.27129854739037,1.0498224733881152,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03509999987727497,2.3209000000861124,0.23460000011255033,1.9328000000768952,0.7069999999202992,0.26630000002114684,0.0007000001005508238,0.08609999986219918,0.05340000006981427,0.07249999998748535,0.024899999971239595,0.0271000001248467,0.09860000000116997
test_consistent_random_observations__022,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,5.095199999914257,POLYGON,4,17.23703770541595,8.618518852707975,12.988327921397024,4.369809068689049,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.0473000000056345,2.4714000001040404,0.3973999998834188,1.9127999999000167,2.228499999773703,0.26469999988876225,0.0006000000212225132,0.08200000002034358,0.050999999984924216,0.07039999991320656,0.026700000034907134,0.032500000088475645,0.08330000014211691
test_consistent_random_observations__023,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.336999999874024,POLYGON,4,22.901170157771865,11.450585078885933,11.450585078885947,1.4210854715202004e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03339999989293574,2.319299999953728,0.25269999991905934,1.9125999999687338,0.6527999998979794,0.26309999998375133,0.0004999999418942025,0.0780000000304426,0.0705999998444895,0.06760000019312429,0.021599999854515772,0.023400000145556987,0.06840000014562975
test_consistent_random_observations__024,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.277200000160519,POLYGON,4,22.901170157771865,11.450585078885933,11.450585078885947,1.4210854715202004e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.03130000004603062,2.556400000003123,0.38180000024112815,2.0128000001022883,1.3120000000981236,0.2971999999772379,0.0006999998731771484,0.08589999993091624,0.07980000009411015,0.07320000008803618,0.02429999995001708,0.031499999977313564,0.08030000003600435
test_consistent_random_observations__025,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,4.081100000121296,POLYGON,6,27.042483552084324,13.521241776042162,13.521241776042165,3.552713678800501e-15,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.04749999993691745,2.7425000000675936,0.3388000000086322,2.243099999759579,0.733599999875878,0.4655000000184373,0.0006000000212225132,0.18100000011145312,0.10439999982736481,0.11190000009264622,0.03220000007786439,0.03389999983482994,0.09200000022246968
test_consistent_random_observations__026,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,4.233699999986129,POLYGON,6,23.07626034780428,11.53813017390214,12.427104819446122,0.888974645543982,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.030300000162242213,2.41520000008677,0.3974999999627471,1.859999999851425,1.315799999929368,0.39709999987280753,0.0006000000212225132,0.17870000010589138,0.035399999887886224,0.10730000008152274,0.032400000009147334,0.041300000020783045,0.0752999999349413
test_consistent_random_observations__027,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.4206000000267522,POLYGON,5,26.043564992928037,13.021782496464018,13.021782496464045,2.6645352591003757e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.031199999966702308,2.217900000005102,0.22399999988920172,1.8449999997756095,0.7229000000279484,0.3856000000723725,0.0004999999418942025,0.12979999996787228,0.10320000001229346,0.09430000000065775,0.02679999988686177,0.02960000006169139,0.06299999995462713
test_consistent_random_observations__028,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,3.8203000001431064,POLYGON,4,19.227330645630182,9.613665322815091,9.613665322815091,0.0,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.027600000066740904,2.243900000166832,0.35599999978330743,1.7320999995718012,1.2057999999797175,0.27410000006966584,0.0006000000212225132,0.08180000008906063,0.07099999993442907,0.06950000010874646,0.02199999994445534,0.02779999999802385,0.06889999986015027
test_consistent_random_observations__029,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.2714999999825523,POLYGON,4,20.1296607114347,10.06483035571735,14.367509026165235,4.302678670447886,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.026599999955578824,2.2526999998717656,0.22910000006959308,1.874099999668033,0.6875999999920168,0.24260000009235227,0.0004999999418942025,0.08350000007339986,0.0367999998616142,0.07279999999809661,0.02170000016121776,0.025899999855028,0.06200000007083872
test_consistent_random_observations__030,test_consistent_random_observations,PASS,solve_q1,observations,4,4,8,8,3.868000000011307,POLYGON,4,20.1296607114347,10.06483035571735,14.367509026165235,4.302678670447886,False,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.031200000194075983,2.33539999999266,0.38070000005063775,1.795399999991787,1.1888999999882799,0.23780000014994584,0.0004999999418942025,0.08019999995667604,0.03530000003593159,0.07000000005064066,0.02130000007127819,0.02909999989242351,0.07469999968634511
test_consistent_random_observations__031,test_consistent_random_observations,PASS,solve_q1,observations,3,3,6,6,3.3541000000241183,POLYGON,5,21.155216366145474,10.577608183072737,10.577608183072753,1.5987211554602254e-14,True,scipy_with_fraction_check,scipy_highs_with_fraction_check,,0.027099999897473026,2.166500000157612,0.2162000000680564,1.8039000001408567,0.7226000000173372,0.3678000000491011,0.0006999998731771484,0.12760000004163885,0.08950000005825132,0.09120000004259055,0.027299999828755972,0.029900000072302646,0.0700999999025953
