case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
circle_boundary_inside,coverage_boundary,1,ERROR,halfplanes,,,3,,,753.8982000000942,,,,,,,,,,,,,,,,,,,,,,,,
circle_boundary_on,coverage_boundary,1,ERROR,halfplanes,,,3,,,625.9521000001769,,,,,,,,,,,,,,,,,,,,,,,,
circle_boundary_outside_within_tolerance,coverage_boundary,1,ERROR,halfplanes,,,3,,,614.0001000003394,,,,,,,,,,,,,,,,,,,,,,,,
circle_boundary_outside_tolerance,coverage_boundary,1,ERROR,halfplanes,,,3,,,551.222499999767,,,,,,,,,,,,,,,,,,,,,,,,
thin_rectangle_0.001,degeneracy,1,ERROR,halfplanes,,,4,,,514.9504999999408,,,,,,,,,,,,,,,,,,,,,,,,
thin_rectangle_1e-07,degeneracy,1,ERROR,halfplanes,,,4,,,521.6578999998092,,,,,,,,,,,,,,,,,,,,,,,,
thin_rectangle_1e-10,degeneracy,1,ERROR,halfplanes,,,4,,,584.6004999998513,,,,,,,,,,,,,,,,,,,,,,,,
thin_rectangle_1e-12,degeneracy,1,ERROR,halfplanes,,,4,,,648.0138000001716,,,,,,,,,,,,,,,,,,,,,,,,
exact_segment,degeneracy,1,ERROR,halfplanes,,,4,,,653.0984999999419,,,,,,,,,,,,,,,,,,,,,,,,
exact_point,degeneracy,1,ERROR,halfplanes,,,4,,,583.9403999998467,,,,,,,,,,,,,,,,,,,,,,,,
almost_infeasible_0.001,feasibility_boundary,1,ERROR,halfplanes,,,2,,,521.1395000001176,,,,,,,,,,,,,,,,,,,,,,,,
almost_infeasible_1e-08,feasibility_boundary,1,ERROR,halfplanes,,,2,,,541.4289000000281,,,,,,,,,,,,,,,,,,,,,,,,
almost_infeasible_1e-12,feasibility_boundary,1,ERROR,halfplanes,,,2,,,599.7267000002466,,,,,,,,,,,,,,,,,,,,,,,,
parallel_strip,parallel,1,ERROR,halfplanes,,,2,,,704.8612999997204,,,,,,,,,,,,,,,,,,,,,,,,
near_parallel_1e-06,parallel,1,ERROR,halfplanes,,,3,,,546.0849000000962,,,,,,,,,,,,,,,,,,,,,,,,
near_parallel_1e-10,parallel,1,ERROR,halfplanes,,,3,,,616.3367999997718,,,,,,,,,,,,,,,,,,,,,,,,
near_parallel_1e-12,parallel,1,ERROR,halfplanes,,,3,,,582.0624999996653,,,,,,,,,,,,,,,,,,,,,,,,
translation_0,coordinate_scale,1,ERROR,observations,2,2,4,,,579.4897000000674,,,,,,,,,,,,,,,,,,,,,,,,
translation_1e+06,coordinate_scale,1,ERROR,observations,2,2,4,,,515.1954000002661,,,,,,,,,,,,,,,,,,,,,,,,
translation_1e+09,coordinate_scale,1,ERROR,observations,2,2,4,,,512.6737000000503,,,,,,,,,,,,,,,,,,,,,,,,
angle_wrap,bearing_boundary,1,ERROR,observations,2,2,4,,,556.6948999999113,,,,,,,,,,,,,,,,,,,,,,,,
configured_error_1e-08,bearing_boundary,1,ERROR,observations,2,2,4,,,496.1880000000747,,,,,,,,,,,,,,,,,,,,,,,,
configured_error_89.999999,bearing_boundary,1,ERROR,observations,2,2,4,,,616.826200000105,,,,,,,,,,,,,,,,,,,,,,,,
bearing_error_exact_limit,bearing_boundary,1,ERROR,observations,2,2,4,,,536.2909999998919,,,,,,,,,,,,,,,,,,,,,,,,
distinct_points_10,distinct_scale,1,ERROR,observations,10,10,20,,,615.3494999998657,,,,,,,,,,,,,,,,,,,,,,,,
distinct_points_30,distinct_scale,1,ERROR,observations,30,30,60,,,562.2028000002501,,,,,,,,,,,,,,,,,,,,,,,,
distinct_points_100,distinct_scale,1,ERROR,observations,100,100,200,,,533.3540999999968,,,,,,,,,,,,,,,,,,,,,,,,
distinct_points_200,distinct_scale,1,ERROR,observations,200,200,400,,,499.36040000011417,,,,,,,,,,,,,,,,,,,,,,,,
distinct_points_500,distinct_scale,1,ERROR,observations,500,500,1000,,,587.2260999999526,,,,,,,,,,,,,,,,,,,,,,,,
repeated_observations_1000,duplicate_scale,1,ERROR,observations,1000,2,2000,,,571.061600000121,,,,,,,,,,,,,,,,,,,,,,,,
repeated_observations_10000,duplicate_scale,1,ERROR,observations,10000,2,20000,,,525.4546999999548,,,,,,,,,,,,,,,,,,,,,,,,
