case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
circle_boundary_inside,coverage_boundary,1,PASS,halfplanes,,,3,3,4.712200000085431,486.624699999993,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.304400000364694,0.06689999963782611,4.079999999703432,0.14899999996487168,0.15319999965868192,0.0005000001692678779,0.03819999983534217,0.06450000000768341,0.012599999990925426,0.019099999917671084,0.016599999980826396,0.10560000009718351
circle_boundary_on,coverage_boundary,1,PASS,halfplanes,,,3,3,4.858999999669322,531.346300000223,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.369199999928242,0.06510000002890592,4.147199999806617,0.1461000001654611,0.22740000031262753,0.0006000000212225132,0.035799999750452116,0.0617999999121821,0.011900000117748277,0.094600000011269,0.02119999999194988,0.11629999926299206
circle_boundary_outside_within_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,4.86380000029385,591.3258999999016,POLYGON,3,2.0,1.0,1.0000005,5.00000000069889e-07,True,scipy_highs_with_fraction_check,0.0,,,,4.4330999999147025,0.06570000050487579,4.203599999527796,0.15450000000782893,0.14979999969000346,0.0007000003279244993,0.03879999985656468,0.05909999981668079,0.012299999980314169,0.02029999996011611,0.017100000150094274,0.12640000068131485
circle_boundary_outside_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,4.686799999944924,536.9659000002684,POLYGON,3,2.0,1.0,1.00005,5.0000000000105516e-05,False,scipy_highs_with_fraction_check,0.0,,,,4.2620000003807945,0.0629000001026725,4.050600000482518,0.158100000135164,0.1532999999653839,0.0006999998731771484,0.03820000029008952,0.05899999996472616,0.012299999980314169,0.019699999938893598,0.021500000002561137,0.11339999946358148
thin_rectangle_0.001,degeneracy,1,PASS,halfplanes,,,4,4,5.7177000003321155,515.6293999998525,POLYGON,4,1.000000499999875,0.5000002499999375,0.5000002499999375,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.751399999804562,0.05149999969944474,4.509200000939018,0.3544999999576248,0.4915999998047482,0.0012000000424450263,0.132200000280136,0.16809999988254276,0.03370000013092067,0.10279999969498022,0.04979999994247919,0.12020000076518045
thin_rectangle_1e-07,degeneracy,1,PASS,halfplanes,,,4,4,6.849700000202574,565.0151999998343,POLYGON,4,1.000000000000005,0.5000000000000026,0.5000000000000026,0.0,True,scipy_highs_with_fraction_check,0.0,,,,5.889099999876635,0.06010000015521655,5.587600000126258,0.39139999989856733,0.44420000040190644,0.0012000000424450263,0.12770000012096716,0.18039999986285693,0.03689999994094251,0.046799999836366624,0.04760000001624576,0.12500000002546585
thin_rectangle_1e-10,degeneracy,1,PASS,halfplanes,,,4,4,5.136599999786995,513.7872000000243,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.389900000205671,0.052999999752501026,4.1699999997035775,0.19810000003417372,0.4372999997031002,0.000499999714520527,0.12860000015280093,0.1791999998204119,0.036299999919719994,0.045000000227446435,0.04529999978331034,0.11129999984405003
thin_rectangle_1e-12,degeneracy,1,PASS,halfplanes,,,4,4,4.650900000342517,540.2346999999281,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.118800000014744,0.060200000007171184,3.9008000003377674,0.1882000001387496,0.21489999971890938,0.0006000000212225132,0.06229999962670263,0.08780000007391209,0.01740000016070553,0.021999999717081664,0.023100000362319406,0.12900000047011417
exact_segment,degeneracy,1,PASS,halfplanes,,,4,4,4.578900000069552,502.25399999999354,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.196300000330666,0.04930000022795866,3.986800000348012,0.17969999998967978,0.09679999993750243,0.0005999995664751623,0.021100000139995245,0.04870000020673615,0.007599999662488699,0.0009000000318337698,0.016400000276917126,0.10609999981170404
exact_point,degeneracy,1,PASS,halfplanes,,,4,4,6.010600000081467,486.81159999978263,POINT,1,0.0,0.0,0.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,5.724600000121427,0.052599999889935134,5.517100000361097,0.16610000011496595,0.004800000169780105,0.0031999998100218363,,,,,,0.11509999967529438
