case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
circle_boundary_inside,coverage_boundary,1,PASS,halfplanes,,,3,3,6.311400000413414,596.0541000004014,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,5.355600000257255,0.1554000009491574,5.08579999950598,0.5865999992238358,0.2303000001120381,0.0010000003385357559,0.05459999920276459,0.10120000115421135,0.01799999881768599,0.02700000004551839,0.02620000122988131,0.13890000082028564
circle_boundary_on,coverage_boundary,1,PASS,halfplanes,,,3,3,5.405600000813138,534.1155000005529,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.759200000989949,0.12170000081823673,4.5417999990604585,0.37309999970602803,0.15660000099160243,0.0009000013960758224,0.03789999936998356,0.06579999899258837,0.01320000046689529,0.01920000067912042,0.017700000171316788,0.11669999912555795
circle_boundary_outside_within_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,5.402099999628263,556.5391000000091,POLYGON,3,2.0,1.0,1.0000005,5.00000000069889e-07,True,scipy_highs_with_fraction_check,0.0,,,,4.7362999994220445,0.12869999955000822,4.511599998295424,0.392699999792967,0.15050000001792796,0.0006999998731771484,0.037700001485063694,0.06029999894963112,0.012200000128359534,0.020199999198666774,0.017300000763498247,0.12260000039532315
circle_boundary_outside_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,5.292899999403744,592.7678999996715,POLYGON,3,2.0,1.0,1.00005,5.0000000000105516e-05,False,scipy_highs_with_fraction_check,0.0,,,,4.586900000504102,0.1342999985354254,4.351200002929545,0.39090000063879415,0.14629999895987567,0.0006000009307172149,0.03680000008898787,0.05739999869547319,0.0121000011858996,0.01990000055229757,0.01759999940986745,0.16879999930097256
thin_rectangle_0.001,degeneracy,1,PASS,halfplanes,,,4,4,6.365799999912269,576.5986999995221,POLYGON,4,1.000000499999875,0.5000002499999375,0.5000002499999375,0.0,True,scipy_highs_with_fraction_check,0.0,,,,5.310500000632601,0.16170000162674114,5.027999999583699,0.5919999985053437,0.2834999995684484,0.0008999995770864189,0.08130000060191378,0.119099999210448,0.021100000594742596,0.028899999961140566,0.02970000059576705,0.17980000120587647
thin_rectangle_1e-07,degeneracy,1,PASS,halfplanes,,,4,4,5.349999999452848,558.913400000165,POLYGON,4,1.000000000000005,0.5000000000000026,0.5000000000000026,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.549299999780487,0.1021999996737577,4.333000000769971,0.4433999984030379,0.22399999943445437,0.0006999998731771484,0.06469999971159268,0.09170000157610048,0.01799999881768599,0.022899999748915434,0.024200000552809797,0.13330000183486845
thin_rectangle_1e-10,degeneracy,1,PASS,halfplanes,,,4,4,5.340499999874737,523.3372000002419,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.5755999999528285,0.10230000043520704,4.356999996161903,0.4275999999663327,0.20709999989776406,0.000700001692166552,0.060200000007171184,0.08449999950244091,0.016199999663513154,0.021500000002561137,0.022199999875738285,0.13020000005781185
thin_rectangle_1e-12,degeneracy,1,PASS,halfplanes,,,4,4,5.341000000044005,553.1317999993917,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.571299999952316,0.10230000225419644,4.353899999841815,0.4284000006009592,0.2120000008289935,0.0009000013960758224,0.061499998992076144,0.08580000030633528,0.016899999536690302,0.02240000139863696,0.02229999881819822,0.12929999866173603
exact_segment,degeneracy,1,PASS,halfplanes,,,4,4,4.993299999114242,540.4744999996183,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.401500000312808,0.0959999997576233,4.190100000414532,0.37460000021383166,0.09890000001178123,0.0006999998731771484,0.020399998902576044,0.05109999983687885,0.007599999662488699,0.000700001692166552,0.016299998605973087,0.11829999857582152
exact_point,degeneracy,1,PASS,halfplanes,,,4,4,4.830600000786944,600.119700000505,POINT,1,0.0,0.0,0.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.317099999752827,0.10409999777039047,4.092700000910554,0.38359999962267466,0.0072999991971300915,0.004899999112240039,,,,,,0.12260000221431255
almost_infeasible_0.001,feasibility_boundary,1,PASS,halfplanes,,,2,2,2.427900000839145,550.0476999986859,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,,,,2.3228000009112293,0.04219999937049579,2.264400000058231,,,,,,,,,0.10509999992791563
almost_infeasible_1e-08,feasibility_boundary,1,PASS,halfplanes,,,2,2,3.7634000000252854,718.4723000009399,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,,,,3.608600000006845,0.0681000019540079,3.513800000291667,,,,,,,,,0.1548000000184402
almost_infeasible_1e-12,feasibility_boundary,1,WARN,halfplanes,,,2,2,5.25279999965278,611.1106999996991,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics,,,5.119499999636901,0.05439999949885532,4.913599997962592,,,,,,,,,0.13330000001587905
parallel_strip,parallel,1,PASS,halfplanes,,,2,2,2.9083999997965293,515.7586000004812,UNBOUNDED,0,Infinity,,,,,scipy_highs_with_fraction_check,,,,,2.803599998514983,0.037999998312443495,2.7062999997724546,,,,,,,,,0.10480000128154643
near_parallel_1e-06,parallel,1,PASS,halfplanes,,,3,3,4.942100000334904,550.8237000012741,POLYGON,3,1000000.0000005,500000.00000025,500000.00000025,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.312099999879138,0.0991000015346799,4.106200003661797,0.3532999999151798,0.1638000012462726,0.0008000006346264854,0.039399999877787195,0.0703999994584592,0.013900000340072438,0.019999999494757503,0.017600001228856854,0.1128999992943136
near_parallel_1e-10,parallel,1,WARN,halfplanes,,,3,3,3.6249999993742676,587.6533999999083,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics,,,3.4844000001612585,0.05729999975301325,3.3411000003980007,,,,,,,,,0.14059999921300914
near_parallel_1e-12,parallel,1,WARN,halfplanes,,,3,3,4.884500000116532,609.0465000015683,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,未给出几何答案：病态数据触发数值异常，请查看diagnostics,,,4.697899999882793,0.08460000026389025,4.501500001424574,,,,,,,,,0.18660000023373868
