case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
circle_boundary_inside,coverage_boundary,1,FAIL,halfplanes,,,3,3,3.1132999993133126,556.5729999998439,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,期望状态POLYGON，实际NUMERICAL_ISSUE | 直径与解析值不符 | 覆盖判断与期望不符 | 精确系数覆盖判断与解析期望不符,,,2.643900001203292,0.050799999371520244,2.5616000002628425,0.33710000025166664,,,,,,,,0.1322999978583539
circle_boundary_on,coverage_boundary,1,PASS,halfplanes,,,3,3,4.0883999990910525,581.9651000001613,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,3.3690000000206055,0.062400000388151966,3.263399999923422,0.4879000007349532,0.08290000005217735,0.0012000000424450263,0.01630000042496249,0.02559999848017469,0.005900001269765198,0.011399999493733048,0.01920000067912042,0.14859999828331638
circle_boundary_outside_within_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,3.2762999999249587,647.2522000003664,POLYGON,3,2.0,1.0,1.0000005,5.00000000069889e-07,True,scipy_highs_with_fraction_check,0.0,,,,2.5491999986115843,0.05380000038712751,2.4633000011817785,0.517000000400003,0.08609999895270448,0.0008999995770864189,0.013299999409355223,0.029599999834317714,0.005300000339047983,0.011199999789823778,0.023599999622092582,0.12400000196066685
circle_boundary_outside_tolerance,coverage_boundary,1,FAIL,halfplanes,,,3,3,3.0336999989231117,573.5156999999163,NUMERICAL_ISSUE,0,,,,,,scipy_highs_with_fraction_check,,期望状态POLYGON，实际NUMERICAL_ISSUE | 直径与解析值不符 | 覆盖判断与期望不符 | 精确系数覆盖判断与解析期望不符,,,2.523000001019682,0.058400000852998346,2.4348999995709164,0.3864999998768326,,,,,,,,0.12419999802659731
thin_rectangle_0.001,degeneracy,1,PASS,halfplanes,,,4,4,3.24449999970966,551.5778999997565,POLYGON,4,1.000000499999875,0.5000002499999375,0.5000002499999375,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.4498000002495246,0.15420000090671238,2.3080999999365304,0.4543000013654819,0.20929999845975544,0.0005999991117278114,0.06100000064179767,0.08609999895270448,0.01570000131323468,0.0213999992411118,0.022599999283556826,0.13109999963489827
thin_rectangle_1e-07,degeneracy,1,PASS,halfplanes,,,4,4,3.555400000550435,538.7057999996614,POLYGON,4,1.000000000000005,0.5000000000000026,0.5000000000000026,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.5867999993351987,0.16239999786193948,2.4426999989373144,0.566400000025169,0.2767000005405862,0.0015000005078036338,0.0794000006862916,0.10939999992842786,0.022399999579647556,0.02970000059576705,0.03169999945384916,0.12550000064948108
thin_rectangle_1e-10,degeneracy,1,PASS,halfplanes,,,4,4,3.308199999082717,537.1665999991819,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.4957999994512647,0.17249999837076757,2.342300000236719,0.47850000009930227,0.21240000023681205,0.0005999991117278114,0.06209999992279336,0.08789999992586672,0.01610000072105322,0.0213999992411118,0.02260000110254623,0.12149999929533806
thin_rectangle_1e-12,degeneracy,1,PASS,halfplanes,,,4,4,3.194999999323045,503.4032000003208,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.3825000007491326,0.15309999980672728,2.2558000000572065,0.49140000010083895,0.2117000003636349,0.0006000009307172149,0.06279999979597051,0.08739999975659885,0.016199999663513154,0.0213999992411118,0.021600000764010474,0.10939999810943846
exact_segment,degeneracy,1,PASS,halfplanes,,,4,4,3.0816999988019234,485.9013999994204,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.4764000008872245,0.1401999998051906,2.354899999772897,0.3935000004275935,0.0990999997156905,0.0005999991117278114,0.021000001652282663,0.05169999894860666,0.0075000007200287655,0.0008999995770864189,0.015699999494245276,0.11269999777141493
exact_point,degeneracy,1,PASS,halfplanes,,,4,4,3.022499999133288,503.7416999984998,POINT,1,0.0,0.0,0.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.4933000004239148,0.17019999722833745,2.354499998546089,0.40550000085204374,0.006199999916134402,0.003600000127335079,,,,,,0.11749999794119503
