case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
circle_boundary_inside,coverage_boundary,1,PASS,halfplanes,,,3,3,3.308199999082717,569.4438999998965,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.6027999992948025,0.047900000936351717,2.5251000006392132,0.41590000000724103,0.15799999891896732,0.0005999991117278114,0.03819999983534217,0.06949999988137279,0.012000000424450263,0.018700000509852543,0.017299998944508843,0.1315000008617062
circle_boundary_on,coverage_boundary,1,PASS,halfplanes,,,3,3,3.278100000898121,633.5734000003868,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.6141999987885356,0.05000000055588316,2.534699999159784,0.3880000003846362,0.15190000158327166,0.0005999991117278114,0.036299999919719994,0.0667000003886642,0.011699999959091656,0.018200000340584666,0.016599999071331695,0.12400000014167745
circle_boundary_outside_within_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,3.845799999908195,557.9489000010653,POLYGON,3,2.0,1.0,1.0000005,5.00000000069889e-07,True,scipy_highs_with_fraction_check,0.0,,,,3.0800000004092,0.04630000148608815,2.9830999992555007,0.4107999993721023,0.22850000095786527,0.000700001692166552,0.037799998608534224,0.11810000069090165,0.021600000764010474,0.02609999864944257,0.022399999579647556,0.12649999916902743
circle_boundary_outside_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,3.74290000036126,523.7149999993562,POLYGON,3,2.0,1.0,1.00005,5.0000000000105516e-05,False,scipy_highs_with_fraction_check,0.0,,,,3.0643999998574145,0.04910000097879674,2.9792000004817965,0.41110000165645033,0.14840000039839651,0.0006000009307172149,0.03730000025825575,0.060999998822808266,0.011699999959091656,0.01860000156739261,0.017299998944508843,0.11899999844899867
thin_rectangle_0.001,degeneracy,1,PASS,halfplanes,,,4,4,3.791099999943981,539.4617000001745,POLYGON,4,1.000000499999875,0.5000002499999375,0.5000002499999375,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.97839999984717,0.2967000018543331,2.698199999940698,0.47760000052221585,0.21219999871391337,0.0007999988156370819,0.06140000004961621,0.08730000081413891,0.016199999663513154,0.021699999706470408,0.0228000008064555,0.12290000086068176
thin_rectangle_1e-07,degeneracy,1,PASS,halfplanes,,,4,4,3.353100000822451,591.2743999997474,POLYGON,4,1.000000000000005,0.5000000000000026,0.5000000000000026,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.558899999712594,0.15320000056817662,2.418099998976686,0.46149999980116263,0.2097000015055528,0.0005999991117278114,0.06150000081106555,0.08629999865661375,0.01570000131323468,0.021099998775753193,0.022199999875738285,0.12299999980314169
thin_rectangle_1e-10,degeneracy,1,PASS,halfplanes,,,4,4,3.414400000110618,608.850300000995,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.546499999880325,0.13920000310463365,2.4135999992722645,0.48240000069199596,0.268300000243471,0.0008000006346264854,0.06229999962670263,0.11029999950551428,0.03339999966556206,0.028300000849412754,0.03130000004603062,0.11719999929482583
thin_rectangle_1e-12,degeneracy,1,PASS,halfplanes,,,4,4,4.218500000206404,560.4290999999648,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,3.246600001148181,0.1734000015858328,3.0767999996896833,0.5103999992570607,0.30839999999443535,0.0017000002117129043,0.08100000013655517,0.128400000903639,0.02469999890308827,0.03319999996165279,0.0366000003850786,0.15309999980672728
exact_segment,degeneracy,1,PASS,halfplanes,,,4,4,3.4184999985882314,578.7688000000344,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.7840999991894932,0.16340000365744345,2.6514000001043314,0.418399999034591,0.09890000001178123,0.0006999998731771484,0.020899999071843922,0.05059999966761097,0.0073999999585794285,0.0009000013960758224,0.01669999983278103,0.1171000003523659
exact_point,degeneracy,1,PASS,halfplanes,,,4,4,3.491000001304201,674.0921000000526,POINT,1,0.0,0.0,0.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,2.974700000777375,0.15210000128718093,2.8256000005058013,0.3794999993260717,0.00799999907030724,0.004499999704421498,,,,,,0.12880000213044696
almost_infeasible_0.001,feasibility_boundary,1,PASS,halfplanes,,,2,2,2.155500000299071,580.321699999331,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,,,,2.0552000005409354,0.0455999997939216,1.9938999994337792,,,,,,,,,0.10029999975813553
almost_infeasible_1e-08,feasibility_boundary,1,PASS,halfplanes,,,2,2,3.2358999997086357,565.0286000000051,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,,,,3.109200000835699,0.058200001149089076,3.0198000004020287,,,,,,,,,0.1266999988729367
almost_infeasible_1e-12,feasibility_boundary,1,PASS,halfplanes,,,2,2,2.7282999999442836,613.0548000000999,EMPTY,0,,,,,,scipy_highs_with_fraction_check,,,,,2.6276999997207895,0.05810000038763974,2.5497999995423015,,,,,,,,,0.10060000022349413
