case_id,group,repeat,test_outcome,input_kind,observation_count,unique_detection_point_count,constraint_count_input,constraint_count_solver,elapsed_ms,case_wall_ms,status,vertex_count,diameter,circle_radius,max_vertex_distance,coverage_excess,same_diameter_covers,backend,audit_max_residual_m,checks,stage_config_ms,stage_build_halfplanes_ms,stage_classify_ms,stage_projection_bounds_ms,stage_linprog_ms,stage_vertices_ms,stage_measure_ms,stage_measure_setup_ms,stage_diameter_ms,stage_coverage_ms,stage_degeneracy_ms,stage_sort_vertices_ms,stage_residual_and_output_ms,stage_other_ms
circle_boundary_inside,coverage_boundary,1,PASS,halfplanes,,,3,3,5.012000000078842,546.3266999997813,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.537499999969441,0.06619999999202264,4.317700000001423,0.15549999989161734,0.19530000008671777,0.0007000001005508238,0.03799999990405922,0.04450000005817856,0.0341999998454412,0.036100000215810724,0.039399999877787195,0.12370000013106619
circle_boundary_on,coverage_boundary,1,PASS,halfplanes,,,3,3,4.560200000014447,502.4091000000226,POLYGON,3,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.155100000161838,0.06880000000819564,3.9183999999750085,0.14740000005986076,0.14839999994364916,0.0006000000212225132,0.03670000000965956,0.042200000052616815,0.03220000007786439,0.01849999989644857,0.016700000060154707,0.10929999984909955
circle_boundary_outside_within_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,5.079099999875325,593.5058000000026,POLYGON,3,2.0,1.0,1.0000005,5.00000000069889e-07,True,scipy_highs_with_fraction_check,0.0,,,,4.677899999933288,0.0617999999121821,4.442999999810127,0.15000000007603376,0.14570000007552153,0.0006999998731771484,0.03790000005210459,0.03620000006776536,0.03300000003036985,0.019899999870176543,0.01650000012887176,0.10549999979048152
circle_boundary_outside_tolerance,coverage_boundary,1,PASS,halfplanes,,,3,3,5.028899999842906,504.7729000000345,POLYGON,3,2.0,1.0,1.00005,5.0000000000105516e-05,False,scipy_highs_with_fraction_check,0.0,,,,4.6210999998947955,0.06500000017695129,4.385400000046502,0.15349999989666685,0.1466000001073553,0.0006000000212225132,0.038099999983387534,0.03700000002027082,0.03290000017841521,0.019599999859565287,0.017000000070765964,0.10769999994408863
thin_rectangle_0.001,degeneracy,1,PASS,halfplanes,,,4,4,5.111400000032518,521.2460000000192,POLYGON,4,1.000000499999875,0.5000002499999375,0.5000002499999375,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.594200000155979,0.05029999988437339,4.37299999998686,0.18729999987954216,0.21130000004632166,0.0004999999418942025,0.06220000000212167,0.05570000007537601,0.04650000005312904,0.022700000045006163,0.021799999785798718,0.11859999995067483
thin_rectangle_1e-07,degeneracy,1,PASS,halfplanes,,,4,4,4.909199999929115,494.13049999998293,POLYGON,4,1.000000000000005,0.5000000000000026,0.5000000000000026,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.39249999999447,0.052800000048591755,4.178700000238678,0.18409999984214664,0.2079000000776432,0.0005999997938488377,0.061100000039004954,0.05469999996421393,0.04640000020117441,0.02189999986512703,0.021699999933844083,0.1247000000148546
thin_rectangle_1e-10,degeneracy,1,PASS,halfplanes,,,4,4,4.75100000016937,607.4195000001055,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.217999999809763,0.05229999987932388,4.000600000154009,0.19040000006498303,0.2162000000680564,0.0006000000212225132,0.06359999997584964,0.05779999992228113,0.04719999992630619,0.022400000034394907,0.022800000124334474,0.1264000002265675
thin_rectangle_1e-12,degeneracy,1,PASS,halfplanes,,,4,4,5.118600000059814,462.66179999997803,POLYGON,4,1.0,0.5,0.5,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.602599999998347,0.05049999981565634,4.391299999952025,0.189200000022538,0.21600000013677345,0.0004999999418942025,0.06520000010823424,0.05729999998038693,0.04719999992630619,0.022299999955066596,0.02210000002378365,0.11079999990215583
exact_segment,degeneracy,1,PASS,halfplanes,,,4,4,4.579800000101386,530.288199999859,SEGMENT,2,2.0,1.0,1.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,4.191099999843573,0.049800000169852865,3.980299999966519,0.17170000000987784,0.09660000000621949,0.0006000000212225132,0.021100000139995245,0.03429999992476951,0.02189999986512703,0.0007000001005508238,0.016100000038932194,0.12040000024171604
exact_point,degeneracy,1,PASS,halfplanes,,,4,4,6.109200000082637,529.118900000185,POINT,1,0.0,0.0,0.0,0.0,True,scipy_highs_with_fraction_check,0.0,,,,5.769699999973454,0.06629999984397728,5.514700000048833,0.1855000000432483,0.005999999984851456,0.00389999991057266,,,,,,0.14800000008108327
